Sample,EGFR,PDGFRA,PTEN,NF1,TP53,RB1,CDKN2A,CDKN2B,MDM2,MDM4,CDK4,CDK6,MET,PIK3CA,PIK3R1,PIK3CB,IDH1,IDH2,ATRX,CIC,FUBP1,NOTCH1,TERT,MGMT,OLIG2,GFAP,SOX2,NES,CD44,CHI3L1,VEGFA,MKI67,BCAN,DLL3,POSTN,SERPINE1,TIMP1,LGALS1,ANXA1,CASP8
MD508984,7.5915,6.9649,7.5879,7.7361,10.0223,9.3228,6.7444,5.4638,6.801,8.3269,11.6966,7.3303,8.6666,7.5677,9.8811,7.1362,8.8143,9.3643,8.0007,9.6061,9.3786,9.2113,6.7661,6.0372,11.4383,10.0275,10.9605,10.373,8.2501,10.4605,10.7776,9.7924,7.5725,8.0261,6.5207,8.5336,12.255,12.7776,7.8539,6.4728
MD545226,8.8014,6.9134,7.9704,7.4699,8.6874,8.2933,8.0547,6.578,6.8041,8.5832,12.0995,6.6718,7.0185,7.3888,10.2995,7.0109,9.3869,9.5111,7.6945,9.5533,9.4202,8.7431,6.7049,7.6,10.8243,10.0791,10.5222,8.9688,7.2305,8.3793,10.2472,9.5133,8.6516,7.8727,4.936,7.1429,11.0466,10.9625,7.1132,6.6306
MD549279,9.0066,6.0949,7.3223,7.1107,8.5113,8.1715,6.8406,7.5028,6.589,8.1948,10.6931,6.2134,7.1898,7.8161,11.026,7.4772,8.6114,9.8812,8.1284,9.2105,8.8804,9.1363,6.7737,5.9734,11.1342,11.2751,10.6552,8.7364,8.6406,8.2197,8.3791,7.4644,8.6305,8.4278,4.9498,8.6493,8.3465,10.589,7.0412,6.196
MD550239,10.0384,5.9974,6.5716,7.2959,8.3028,8.215,7.6149,7.4037,6.7782,8.13,13.1265,6.2925,7.2979,7.0737,11.3011,7.8024,8.5004,9.5358,9.0213,9.5017,8.9435,9.0667,6.8227,6.757,9.7567,11.3382,11.0874,9.7615,8.373,10.9191,8.7184,7.2192,8.0525,7.2474,5.6743,7.2701,10.6632,11.4798,8.0397,7.1071
MD550715,8.8564,6.6675,6.9022,7.3622,7.857,7.8875,7.179,7.4392,6.6519,8.021,9.6916,6.7653,7.2553,7.3453,10.3628,7.5496,8.5516,9.9139,7.287,9.316,8.8272,9.1134,7.0107,6.5566,8.9402,9.7307,10.0319,8.5147,6.9445,6.8185,8.407,6.9389,8.7217,7.4111,5.0368,7.4152,7.4524,9.9477,5.8313,6.3732
MD554082,10.3063,6.1273,7.2633,7.3723,8.7957,8.8092,6.6956,5.5812,6.5873,8.5535,11.4443,8.6808,6.6152,7.4774,10.0911,7.3058,10.412,9.7918,8.5327,9.3444,9.4031,9.325,6.8383,5.6124,10.0249,10.7023,11.109,9.306,7.3998,12.369,10.3686,9.3131,7.914,8.5662,7.9704,8.0084,11.3454,12.5759,8.1044,6.3465
MD602958,7.9682,6.4663,7.7472,7.1969,8.6461,8.984,6.8098,5.917,6.6483,8.029,10.5253,6.5856,7.8743,7.099,9.2834,7.207,8.8964,9.6148,7.9143,9.1142,8.6369,8.1795,6.5705,7.5994,8.4134,11.1356,9.4481,8.9139,10.2793,12.6347,10.3646,7.571,6.6856,7.1073,8.6842,11.5676,12.8926,13.3849,9.9474,7.7074
MD607103,9.0079,6.1132,7.9125,7.1407,8.3394,8.3942,6.7768,5.8502,7.052,7.9724,10.8068,6.713,9.0813,7.3178,9.5295,7.6267,8.9119,9.471,7.514,9.1635,8.3919,8.0814,6.6402,7.1629,7.4137,9.9274,9.598,8.9558,11.6209,13.7853,12.4332,7.8678,6.8938,6.8418,7.0525,13.0917,14.5217,13.9919,9.7776,7.5136
MD607216,8.0884,6.1505,6.481,7.1338,9.1327,9.2401,6.9317,5.7292,6.901,7.9729,11.2312,8.0401,8.084,7.3041,9.0006,7.2896,8.4951,9.1007,7.9504,9.3787,7.5501,8.5613,6.7119,7.0895,9.1532,9.1242,10.2136,9.8958,9.7169,13.3887,11.9988,8.5943,6.895,7.1432,9.0745,10.9857,14.0615,13.4256,8.2341,7.1336
MD608660,8.7012,6.7329,7.211,7.3122,8.1876,8.5292,6.8061,5.5102,6.6189,8.2655,10.5572,7.2594,7.2866,7.0911,10.3788,7.2861,9.0076,9.2731,8.9287,9.8715,8.4018,8.7772,6.8994,6.5036,7.8561,12.4564,10.1546,10.5575,12.013,13.7805,12.839,7.4255,7.168,7.3222,6.2695,10.6685,12.2125,13.5907,9.176,6.8637
MD621233,9.7619,6.3967,6.3567,7.132,7.9453,7.7567,6.9213,5.7171,6.935,7.8296,10.5052,6.7572,6.5972,6.8377,10.3272,7.2569,8.3174,9.2795,7.497,8.7307,6.9226,8.884,7.1744,7.2246,10.5093,10.4696,9.9461,8.6962,7.1414,6.1646,8.5326,7.6525,8.2856,8.7822,5.5763,6.4706,8.4819,11.148,6.705,6.562
