Sample,EGFR,PDGFRA,PTEN,NF1,TP53,RB1,CDKN2A,CDKN2B,MDM2,MDM4,CDK4,CDK6,MET,PIK3CA,PIK3R1,PIK3CB,IDH1,IDH2,ATRX,CIC,FUBP1,NOTCH1,TERT,MGMT,OLIG2,GFAP,SOX2,NES,CD44,CHI3L1,VEGFA,MKI67,BCAN,DLL3,POSTN,SERPINE1,TIMP1,LGALS1,ANXA1,CASP8
GSM405327,7.8304,4.3685,7.5397,6.0922,6.6962,7.7818,5.0154,6.8802,5.3111,8.4937,10.2702,6.0769,5.6369,7.6378,11.9994,7.3867,10.6475,7.6387,10.0404,7.6539,7.5702,8.3554,5.1431,5.1072,10.1857,9.8183,10.302,9.3534,5.1759,5.4194,10.3573,6.9937,10.1828,7.7357,4.7133,6.4139,11.2809,10.6385,6.3596,4.4429
GSM405328,10.1667,4.5184,7.1242,5.7158,6.5083,7.8723,4.8541,4.4839,5.2732,8.1046,10.0528,6.1144,5.3027,7.3778,10.6941,7.6359,11.4516,8.1324,8.2916,8.14,7.3185,7.5729,5.1547,6.1001,8.0649,11.0033,9.7065,9.1451,8.7493,13.4643,11.8078,6.7395,9.0165,5.7334,6.313,8.531,12.0861,13.2046,8.2082,5.0508
GSM405329,6.4187,4.3025,7.561,6.1126,7.5233,7.8723,4.7162,4.9052,5.3856,9.1567,11.0163,5.3094,4.8159,8.5588,11.4636,6.4946,10.7677,8.3707,9.0776,7.9712,7.0099,8.3271,5.3154,5.9262,10.3226,9.9897,9.6062,7.5187,4.61,4.4789,8.6369,8.0816,10.3349,7.3964,5.4167,6.9621,10.7152,11.3666,6.3058,4.6089
GSM405330,5.7743,5.0129,7.2783,6.0371,5.2809,8.2806,6.6079,5.3412,5.0746,8.3515,11.1121,5.2675,5.0547,7.1168,10.4056,6.8059,10.1123,8.4954,6.8814,8.0782,8.5778,8.1941,5.1243,5.6662,10.9146,10.7561,10.2453,7.9053,5.5781,4.9036,7.9666,8.4583,11.2644,8.078,3.8529,5.4429,10.7758,11.217,7.007,4.6207
GSM405331,7.8824,4.602,7.2005,5.6479,6.325,8.3606,4.4858,4.3217,5.1851,8.5848,10.3979,5.1833,4.6046,7.7528,12.1375,7.0565,10.3103,7.5242,8.8867,7.9543,8.0688,8.1577,5.3371,5.5798,10.8895,12.558,10.1511,7.6451,7.0982,5.1593,9.2549,6.1811,10.3996,6.6904,3.9549,5.2871,8.735,12.233,5.5407,4.7143
GSM405333,6.9551,4.6515,8.0606,5.995,6.185,7.7326,5.8111,7.3456,5.1834,8.498,10.6895,5.045,4.9925,8.0926,11.7269,6.8295,10.1736,7.6485,9.6757,7.7441,8.4485,7.4803,5.2722,6.347,8.8078,6.3931,8.7245,7.422,5.1056,4.5632,7.4392,7.8222,9.6275,6.5375,4.7476,5.5928,9.7061,10.77,6.2521,4.6092
GSM405334,9.2496,4.8128,7.1596,5.5326,6.5339,8.0879,5.7748,5.8501,5.4132,10.7702,10.3654,5.2337,4.8824,8.0753,10.1713,7.4428,11.296,8.3816,8.9243,7.4945,7.9463,6.247,5.0615,6.4211,7.9018,8.7398,9.5577,9.1883,7.6809,14.3197,8.6978,5.6433,7.2128,5.6107,5.6615,7.5822,12.4815,13.6597,8.5397,5.6391
GSM405335,6.4846,5.1305,6.8968,5.8301,5.8502,7.7006,4.6217,5.3552,5.1977,8.7246,10.2345,5.1351,4.4518,8.5833,12.147,7.1981,11.3403,6.9216,8.7246,7.6855,7.5756,7.4959,5.3835,5.2731,8.8261,10.1375,7.6428,6.669,4.792,4.622,6.5859,5.2753,8.3352,6.3972,3.742,4.9991,6.627,9.6829,4.7513,4.5344
GSM405337,11.4154,6.1801,6.8878,5.724,7.3467,8.2004,4.6682,4.0567,5.0825,8.8707,10.5716,7.5761,5.4162,7.3121,10.0802,7.6151,11.2029,8.3519,8.9349,7.8582,8.2351,7.8861,5.1454,6.9484,7.1404,9.2406,9.7225,10.8667,7.8124,10.9483,8.7786,7.1848,9.7447,6.6462,5.9387,7.8455,10.3506,11.9755,9.1576,5.0557
GSM405338,5.9968,4.9779,7.0461,5.8427,6.1145,7.6688,4.7659,5.2775,5.3451,8.6083,10.2072,5.0769,4.4357,8.134,11.0779,7.5773,10.8133,8.894,9.469,7.4827,6.7092,8.2453,5.0205,6.1998,10.5155,9.2065,9.6898,7.6691,6.07,5.0946,6.62,5.0488,10.2433,7.5807,3.6823,4.5985,7.4248,10.5913,5.4349,4.5034
